Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11860,0,Y,No,13,3,3,80,0,12,3,2,1,0,0,0
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,Male,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Married,9522,17650,0,Y,No,21,4,2,80,2,17,3,3,15,13,1,8
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,2,Male,84,3,2,Healthcare Representative,3,Married,5237,21804,1,Y,No,13,3,2,80,2,10,3,2,7,7,7,7
35,No,Travel_Rarely,153,Research & Development,15,3,Life Sciences,1,14,3,Male,80,1,1,Laboratory Technician,1,Married,2426,1648,1,Y,Yes,13,3,3,80,1,6,5,3,5,4,0,3
29,No,Travel_Rarely,284,Research & Development,22,4,Life Sciences,1,15,3,Male,49,2,2,Laboratory Technician,2,Single,4193,12682,0,Y,No,12,3,4,80,0,10,3,3,9,5,0,8
31,No,Travel_Rarely,670,Research & Development,2,1,Life Sciences,1,16,1,Male,31,3,1,Laboratory Technician,3,Divorced,2911,10222,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,16751,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2
28,No,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,Male,50,3,1,Laboratory Technician,3,Married,2028,12947,5,Y,No,14,3,2,80,0,6,4,3,4,2,0,3
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Male,51,4,3,Manufacturing Director,2,Married,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8
36,No,Travel_Rarely,852,Research & Development,29,4,Life Sciences,1,21,2,Male,41,4,1,Laboratory Technician,4,Married,3298,16810,0,Y,No,13,3,4,80,1,10,5,3,5,2,4,3
35,No,Travel_Rarely,1218,Sales,1,3,Life Sciences,1,22,1,Male,45,2,3,Sales Executive,2,Single,7853,21293,7,Y,No,16,3,4,80,0,10,3,3,10,5,3,8
19,No,Travel_Rarely,1181,Research & Development,25,4,Life Sciences,1,23,4,Male,69,2,1,Laboratory Technician,4,Single,2658,21175,1,Y,No,14,3,3,80,0,1,2,3,1,0,1,0
27,No,Travel_Rarely,1240,Research & Development,2,3,Medical,1,24,1,Female,85,3,1,Laboratory Technician,1,Married,3919,5983,2,Y,No,11,3,4,80,1,1,5,3,1,0,0,0
38,No,Travel_Rarely,1444,Research & Development,22,2,Medical,1,26,4,Male,97,3,1,Research Scientist,1,Married,2864,2620,1,Y,No,11,3,2,80,0,10,4,3,9,7,1,8
